No,Nama_Produk,Ulasan,Rating
26,COSRX AHA/BHA Treatment Toner,This toner doesn’t strip my skin like the witch hazel brand toner. I’d recommend this.,4
27,Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant,I understand why this product receives 2 star reviews. It won't said goodbye to a dull complexion & blackheads on my nose.,2
28,Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant,"Worth it! My blackheads are so much smaller!! hasn’t helped my redness yet, but i'm hopeful. if you’re doubtful get the little one like i did. this stuff is amazing!!!",4
29,Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant,It’s not too bad if I like it and it works for me then I’ll get the bigger one!,1
30,Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant,I only used this once and seen a difference. And it doesn’t dry out your skin at all! Great for oily skin type.,5
31,Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant,"It made my skin very dry and didn't see any difference on my skin, its sad",1
32,Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant,The bottle on this is so thick and rigid that it’s hard to press to calibrate the amount you want to use. I end up wasting a lot of it. Won’t use again.,1
33,Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant,Beware! What I received was not the real stuff. The bottle and consistency are different.,4
34,Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant,It slowly makes my pores look smaller and clears up majority of blackheads. Just pat it into your skin!,4
35,Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant,I have never noticed any smell until this purchase. Haven’t noticed any reaction ,4
36,Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant,This is one of my favorite products ever! I love everything about it! Great price!,5
37,Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant,It hard to get used to using.,2
38,Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant,This one had a weird smell to it. Not sure why.. it came sealed though an wasn't expired so don't know why it smells.,3
39,Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant,it smelled completely bad and doesn’t work ,1
40,Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant,This is a good product for acne or acne prone skin. ,5
41,Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant,All of you must try this product,4
42,Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant,"Hate the texture, its sticky!",1
43,Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant,"It's incredible!  It’s lightweight, it makes your skin GLOW. I’m about to purchase my second bottle now.",5
44,Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant,"It has horrible odor of the product. Oh my gosh, it smells really bad!!!",2
45,Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant,smells very bad. Definitely couldn’t stand the smell.,1
46,Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant,This product makes me break out more and produce way more oil,4
47,Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant,"It works, but it smells bad . Smells like a throw up ",4
48,Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant,I stopped using this because it was too harsh for my skin.,2
49,Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant,It helps clear my skin from getting break out especially in my forehead within a few days I saw changes. I will be purchasing again. It's really a great size.,4
50,Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant,I stop using this because It dried my face out and was breaking my skin barrier,3
51,Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant,it look like the product is fake,2
52,Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant,This product is truly magic in a bottle. My texture and pimple almost completely gone. Seriously this stuff is great. Will definitely be repurchasing when I run out!!!!,5
53,Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant,This product made my skin feel like it was burning and made my face very red. It did not help with my pores.,3
54,Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant,"overpriced, I didn't notice any difference in my skin",2
55,Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant,"It used to not smell this bad, but it literally smells rotten. I hate putting it on my face because of the rotten smell. ",1
56,Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant,NOT WORTH NO 13 DOLLARS. Literally smaller than a mini water bottle,1
57,Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant,It feels amazing on my skin. I could tell that it’s definitely cleaning deep into my skin to get to my pores. But it works great for me. Well the price is actually too expensive,2
58,Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant,Great for someone with a basic skincare routine trying to step it up a little. Pores do seem significantly smaller or cleaner,5
59,Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant,Everyone should buy it. This is so far the closest product and most affordable to anything professional that i have ever used. ,3
60,Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant,"Don’t waste your money, hasn’t done anything with blackheads nor to prevent breakouts.",3
61,Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant,The product is so small and for the price is just exaggeration! Overpriced!,2
62,Paulas Choice--SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant,I didn't see a very noticeable difference. It is good on sensitive skin and feels nice on your skin.,3
63,"Thayers 2% AHA Exfoliating Toner with Glycolic Acid, Lactic Acid and Witch Hazel","It's very gentle on my skin and makes my face feel clean and refreshed without drying it or causing any redness, irritation, or stinging.The exfoliation impact is very gentle yet effective. My skin feels smoother, softer, and has a healthy glow again. I highly recommend it.",5
64,"Thayers 2% AHA Exfoliating Toner with Glycolic Acid, Lactic Acid and Witch Hazel",It make my face break out on each side at first. It smells great but that's about it.,5
65,"Thayers 2% AHA Exfoliating Toner with Glycolic Acid, Lactic Acid and Witch Hazel","It is gentle, but effective. It moisturizers, and a good base preparation for other type of topical moisturizers. I believe it is good on fine lines.",3
66,"Thayers 2% AHA Exfoliating Toner with Glycolic Acid, Lactic Acid and Witch Hazel",Gentle and nice,4
67,"Thayers 2% AHA Exfoliating Toner with Glycolic Acid, Lactic Acid and Witch Hazel",It smells okay and feels okay.,3
68,"Thayers 2% AHA Exfoliating Toner with Glycolic Acid, Lactic Acid and Witch Hazel",Fragrance free and is easy to use by squeezing a little onto a cotton ball.,4
69,"Thayers 2% AHA Exfoliating Toner with Glycolic Acid, Lactic Acid and Witch Hazel",Whenever I use this toner it burn my face up. However it's a good toner just doesn't work for me.,4
70,"Thayers 2% AHA Exfoliating Toner with Glycolic Acid, Lactic Acid and Witch Hazel","It hasn't given any results even slightly exfoliating or brightening or whatever. Pretty irritating, really. I wouldn't recommend this product.",3
71,"Thayers 2% AHA Exfoliating Toner with Glycolic Acid, Lactic Acid and Witch Hazel",This product has no cleaning power at all.,1
72,"Thayers 2% AHA Exfoliating Toner with Glycolic Acid, Lactic Acid and Witch Hazel",I did not feel any hydration effect. It wasn't bad but would not buy again.,2
73,"Thayers 2% AHA Exfoliating Toner with Glycolic Acid, Lactic Acid and Witch Hazel",The toner didn't have any noticeable scent. It refreshing and feels nice.,4
74,"Thayers 2% AHA Exfoliating Toner with Glycolic Acid, Lactic Acid and Witch Hazel",It looks like the other bottle was ripped out,1
75,The Ordinary Glycolic Acid 7% Toning Solution,"i like it, still in review for myself but i haven’t used it enough to see results, my own fault.",3
76,The Ordinary Glycolic Acid 7% Toning Solution,My face became smoother that is for sure. I love the fact that the product doesn't dry my skin. 100% recommend.,5
77,The Ordinary Glycolic Acid 7% Toning Solution,Not sure it's working for me although I just started using it let's see what will happen.,3
78,The Ordinary Glycolic Acid 7% Toning Solution,This definitely amazing toner. Super exfoliating. I love that it's has no artificial fragrance. My skin wants to freak out just thinking about perfume on my freshly and seriously and chemically exfoliated skin.,5
79,The Ordinary Glycolic Acid 7% Toning Solution,It was delivered with amount of fluids and not filled up to the top.,4
80,The Ordinary Glycolic Acid 7% Toning Solution,It doesn't work. Don't waste your money on it. Instead just spend the extra few bucks on the ordinary one,4
81,The Ordinary Glycolic Acid 7% Toning Solution,I thought it was ordinary glycolic acid and bought it. I should have checked the brand before buying it. Definitely returning it.,2
82,The Ordinary Glycolic Acid 7% Toning Solution,It’s awful. And if you have poor eyesight it’s hard to see that this isn’t the right brand because of the packaging.,1
83,The Ordinary Glycolic Acid 7% Toning Solution,Waste of money and my time.,1
84,Mario Badescu Glycolic Acid Toner for Dry and Combination Skin, I had a white bumps on my face. They wouldn't pop and were slowing getting bigger. This product is getting them away.,3
85,Mario Badescu Glycolic Acid Toner for Dry and Combination Skin,This makes my skin feel and look great. It is not drying at all. It's worth the price.,4
86,Mario Badescu Glycolic Acid Toner for Dry and Combination Skin,It feels sticky on face when dry. ,1
87,Mario Badescu Glycolic Acid Toner for Dry and Combination Skin,My face was burning off and it was as red as a tomato.,4
88,Mario Badescu Glycolic Acid Toner for Dry and Combination Skin,"Unfortunately, this toner did nothing for my skin. I tried it every day for a month and there's no results. ",1
89,Mario Badescu Glycolic Acid Toner for Dry and Combination Skin,This toner is great for occasional use but recommend against daily use. It has made my skin clear and tighter,4
90,Mario Badescu Glycolic Acid Toner for Dry and Combination Skin,This stuff is loaded with fragrance and coloring but of which are completely unnecessary and irritating to the skin.,2
91,Mario Badescu Glycolic Acid Toner for Dry and Combination Skin,"I love this product, I now have my mom and daughter using it with great results",4
92,Mario Badescu Glycolic Acid Toner for Dry and Combination Skin,"I don’t have super sensitive skin but it made my face breakout. Also, the smell is terrible I had to stop using it. Went back to my old stuff",2
93,Mario Badescu Glycolic Acid Toner for Dry and Combination Skin, It seems very watered down and also there is a lot of fragrance in it for a leave on treatment.,3
94,Mario Badescu Glycolic Acid Toner for Dry and Combination Skin,It had no seal or wrap on it which is suspicious. I returned it.,1
95,Mario Badescu Glycolic Acid Toner for Dry and Combination Skin,Its okay. Stings a bit..do not think.its doing well. I won't buy again. ,3
96,Mario Badescu Glycolic Acid Toner for Dry and Combination Skin,"Great product, but contains known carcinogens that aren’t worth the risk.",2
97,Mario Badescu Glycolic Acid Toner for Dry and Combination Skin,I stop using it.,1
98,Mario Badescu Glycolic Acid Toner for Dry and Combination Skin,"Great toner for once a day use. Great scent, too.",5
99,Mario Badescu Glycolic Acid Toner for Dry and Combination Skin,the delivery was really safe,5
100,Mario Badescu Glycolic Acid Toner for Dry and Combination Skin,"smells bad, l think its fake!",1
101,Mario Badescu Glycolic Acid Toner for Dry and Combination Skin,It’s a little greasy after it dries and I’ve noticed it’s a blue tint so it makes my skin a little blueish. Not using anymore.,3
102,Mario Badescu Glycolic Acid Toner for Dry and Combination Skin,It ruin my skin. both of my checks got a chemical burns,1
103,Mario Badescu Glycolic Acid Toner for Dry and Combination Skin,"My skin worsened. I was breaking out more, and my skin was drier than ever.",2
104,Mario Badescu Glycolic Acid Toner for Dry and Combination Skin,Horrible! made my face breakout like crazy,1
105,Mario Badescu Glycolic Acid Toner for Dry and Combination Skin,"This was a waste of money, it didn't help my skin in any way, it made my skin oily and I broke out even more.",3
106,Mario Badescu Glycolic Acid Toner for Dry and Combination Skin,"It left my skin sticky and made me break out. For the price, not worth it.",2
107,Mario Badescu Glycolic Acid Toner for Dry and Combination Skin,This is a really fantastic product. My skin looked brighter and firmer after just a few days of use. Highly recommend.,5
108,Mario Badescu Glycolic Acid Toner for Dry and Combination Skin,"This product is fantastic. Best toner I have ever used! Cleans the skin, removes oil without overdrying. Has helped clear up my adult acne like no other product I have tried.",5
109,Mario Badescu Glycolic Acid Toner for Dry and Combination Skin,So far I really like this toner. I like it a lot. Doesn’t irritate my skin or dry it out.,4
110,Mario Badescu Glycolic Acid Toner for Dry and Combination Skin,I love this product for whenever I am having a breakout. Great toner with a soapy fresh scent. Definitely understand the hype now for Mario Badescu products!,5
111,Mario Badescu Glycolic Acid Toner for Dry and Combination Skin,"Do not care for the smell . I don’t see the hype. My skin hasn’t changed. I leave it at 3 stars just because no bad effects, but no effect at all .",2
112,Mario Badescu Glycolic Acid Toner for Dry and Combination Skin,Its Awful! My skin got purging for a week!,1
113,Natural Outcome Glycolic Acid Toner 5% for Face - Gentle Exfoliating Toner,good item,5
114,Natural Outcome Glycolic Acid Toner 5% for Face - Gentle Exfoliating Toner,It dries and makes your skin feel coated with gunk.,1
115,Natural Outcome Glycolic Acid Toner 5% for Face - Gentle Exfoliating Toner,"This is a very nice toner for a very reasonable price. It's a generously sized bottle for the price, has zero fragrance whatsoever, and I feel like it does a nice job of removing any remaining trace of dirt or impurity left on my face. ",3
116,Natural Outcome Glycolic Acid Toner 5% for Face - Gentle Exfoliating Toner,"This toner stings a little when you first use it but maybe that’s because I have sensitive skin, It does leave my face feeling refreshed and plump. It’s helped a little with my spots and the brightness of my skin. I would have given it more stars if it didn’t sting.",5
117,Natural Outcome Glycolic Acid Toner 5% for Face - Gentle Exfoliating Toner,I have very sensitive skin. It is very mild and great for body acne too!,5
118,Natural Outcome Glycolic Acid Toner 5% for Face - Gentle Exfoliating Toner,It' pretty refreshing and leaves my skin feeling clean. Had a little redness or reaction. I feel like it does remove that layer of dirt and residue that just a cleanser alone doesn’t get.,4
119,Natural Outcome Glycolic Acid Toner 5% for Face - Gentle Exfoliating Toner,Goes on really smooth and doesn't take much. Seems to firm up skin almost instantly. Nice scent and an all around good product,5
120,Natural Outcome Glycolic Acid Toner 5% for Face - Gentle Exfoliating Toner,"This toner is not great for brightening or giving your skin a beautiful radiant glow. It makes you have dark marks, hyperpigmentation and dull skin",1
121,Natural Outcome Glycolic Acid Toner 5% for Face - Gentle Exfoliating Toner,"This does a nice job, and does appear to remove more dirt than a typical toner, without harshness.",5
122,Natural Outcome Glycolic Acid Toner 5% for Face - Gentle Exfoliating Toner,My skin seemed brighter. The scent is super mild and is barely noticeable which is how I prefer. Hopefully the main ingredients will keep on helping my skin. I would recommend this to any kind of skin,4
123,Natural Outcome Glycolic Acid Toner 5% for Face - Gentle Exfoliating Toner,"I'm really liking this toner. It cleans up what a regular cleanser leaves behind. It leaves my skin feeling clean, soft and smooth. I don't find it harsh at all. It looks to have some good ingredients in it too. I'm very pleased with it.",4
124,Natural Outcome Glycolic Acid Toner 5% for Face - Gentle Exfoliating Toner,"These pretty much has no scent at all. It has a mild burning and warming feeling when you first apply it, it only lasts for about 5 minutes at the most. I have unusually large pores, so I am hoping that this helps to minimize them.",3
125,Medik8 Press & Glow Daily Exfoliating PHA Tonic with Enzyme Activator,You won't be disappointed. This tonic/toner is a excellent product to prep you skin before applying other skin care.,2
126,Medik8 Press & Glow Daily Exfoliating PHA Tonic with Enzyme Activator,"This toner/exfoliant is wonderful for sensitive skin.  My skin is toned and glowing. No smell, no stinging. Bottle dispenser is awesome. It’s also green friendly.",5
127,Medik8 Press & Glow Daily Exfoliating PHA Tonic with Enzyme Activator,"My skin feels great and smooth after use, and daily my skin looks better. Love the way it dispenses, this one it's perfect and easy for application.",4
128,Medik8 Press & Glow Daily Exfoliating PHA Tonic with Enzyme Activator, The toner is unscented which is really nice. I had a giant pimple on my forehead and after one use it was significantly smaller and my skin was nice and glow. I'm loving this toner.,4
129,Medik8 Press & Glow Daily Exfoliating PHA Tonic with Enzyme Activator,Honestly it doesn't peel on my skin and it doesn't tighten pores,3
130,Medik8 Press & Glow Daily Exfoliating PHA Tonic with Enzyme Activator," This is a mild toner that spreads easily on the face. The toner absorbs well and leaves my skin smooth, hydrated and radiant. I feel my skin is soft, smooth and bright. I would recommend it.",5
131,Medik8 Press & Glow Daily Exfoliating PHA Tonic with Enzyme Activator,Returning!,1
132,Versed Weekend Glow Daily Brightening Facial Toner ,"Love this, but the bigger bottle pump too cause a lot of waste . It goes really fast for the price.",3
133,Versed Weekend Glow Daily Brightening Facial Toner ,"I am very impressed by the quality of the product. I have just used it for two days now and have noticed a change on my skin. I will buy this product again from this same site, keep the good job rolling.",5
134,Versed Weekend Glow Daily Brightening Facial Toner ,Love the feeling after using every morning! Brightens my skin for the day and works for my sensitive skin,4
135,Versed Weekend Glow Daily Brightening Facial Toner ,I like this brand a lot I like their affordability and I like their pledge to making climate and environmental safe products,4
136,Versed Weekend Glow Daily Brightening Facial Toner ,Its too harsh for my skin.,1
137,Versed Weekend Glow Daily Brightening Facial Toner ,"I like all of the ingredients in this, it is gentle on the skin and feels nice. For the amount paid, I'd expect the smell to be a little more pleasant.",5
138,Versed Weekend Glow Daily Brightening Facial Toner ,"I love this product, it started clearing my skin only after a week of use.. It's cleared my dark spots. I also like how its evened my skin tone but is still very gentle Definitely worth the money..",5
139,Versed Weekend Glow Daily Brightening Facial Toner ,good. Makes my skin look and feel amazing.,5
140,Versed Weekend Glow Daily Brightening Facial Toner ,Versed is my favorite skin care product and this one didn’t fail! My face looks fresher and brighter every morning! My face feels refreshed and clean. Love this product.,5
141,Versed Weekend Glow Daily Brightening Facial Toner ,"Darker skinned, beware!!",2
142,Versed Weekend Glow Daily Brightening Facial Toner ,Nothing special actually,2
143,Versed Weekend Glow Daily Brightening Facial Toner ,My face started to peel,1
144,Versed Weekend Glow Daily Brightening Facial Toner ,This was not sealed. Nothing wrapped or sealed. ,1
145,Versed Weekend Glow Daily Brightening Facial Toner ,Product was delivered opened and 3/4 of product spilled out,1
146,Versed Weekend Glow Daily Brightening Facial Toner ,"This toner has done wonders for my acne scars, my dark scaring has significantly faded. There was a little sting when I first started using but I have very sensitive skin .",5
147,Versed Weekend Glow Daily Brightening Facial Toner ,"I thought I got a bad batch, but turns out most of the reviews on their site state this as well.",2
148,Versed Weekend Glow Daily Brightening Facial Toner ,I would give it 5 stars but I’m not a fan of how the lid works when trying to get the product out of the bottle. ,4
149,Versed Weekend Glow Daily Brightening Facial Toner ,Made me break out into tiny bumps. think I might be allergic to one ingredient in there.,2
150,Versed Weekend Glow Daily Brightening Facial Toner ,"I love this toner! while it is a bit expensive, it has done wonders for my skin.",5
151,COSRX Niacinamide 2% + BHA 4% Blackhead Exfoliant Toner,I cannot be with this product! I noticed that blackheads won't gone!!! This product wasn’t harsh at all.,1
152,COSRX Niacinamide 2% + BHA 4% Blackhead Exfoliant Toner,A little tingling on application but no skin reaction so far. Removes dirt really well and clears skin too,3
153,COSRX Niacinamide 2% + BHA 4% Blackhead Exfoliant Toner,"THIS BRAND IS AMAZING for sensitive skin. it is by far the gentlest skincare ever.  All my issues have been resolved. worth the wait. i’m glowing and healthy, without any repercussions.",5
154,COSRX Niacinamide 2% + BHA 4% Blackhead Exfoliant Toner,So far a great product. It is gently on the skin and does not cause irritation. Would recommend.,4
155,COSRX Niacinamide 2% + BHA 4% Blackhead Exfoliant Toner,Works pretty well. Yes I'd order it again because it seems to be very gentle. There seems to be a never ending amount in there which is also a plus.,4
156,COSRX Niacinamide 2% + BHA 4% Blackhead Exfoliant Toner,It made the appearance of my pores look worse everyday. It made it looks like there were tiny blackheads.,1
157,COSRX Niacinamide 2% + BHA 4% Blackhead Exfoliant Toner,I absolutely love this. It has greatly improved my skins appearance. It looks and feels healthier. My blackheads are gone and my pores have decreased. I'm definitely more confident about my skin now.,5
158,COSRX Niacinamide 2% + BHA 4% Blackhead Exfoliant Toner,"i have to give this product a fair time but I don't see anything different, it works slow",2
159,COSRX Niacinamide 2% + BHA 4% Blackhead Exfoliant Toner,I only use this on my face where I get blackheads and I see a difference. No smell and seems to be helping.,4
160,COSRX Niacinamide 2% + BHA 4% Blackhead Exfoliant Toner,It’s making my face break out. It’s not working for me. Unsatisfied with it.,1
161,COSRX Niacinamide 2% + BHA 4% Blackhead Exfoliant Toner,Cannot removing blackheads and it actually broke me out really bad. ,3
162,COSRX Niacinamide 2% + BHA 4% Blackhead Exfoliant Toner,Let me my skin perfect!! I had it pimples and the cream removed them. My skin loose like a porcelain. I am very happy with it. I recommend it and I am going to buy again!!,4
163,COSRX Niacinamide 2% + BHA 4% Blackhead Exfoliant Toner,It does nothing. Helped zero with blackheads,1
164,COSRX Niacinamide 2% + BHA 4% Blackhead Exfoliant Toner,"For a product that's supposed to work for and, it's pretty greasy/oily.",2
165,COSRX Niacinamide 2% + BHA 4% Blackhead Exfoliant Toner,It hasn't cleared or even reduced any blackheads. Very disappointing.,2
166,COSRX Niacinamide 2% + BHA 4% Blackhead Exfoliant Toner,I don’t feel like it does anything it says it does. The BHA amount is too low for any real significance.,2
167,COSRX Niacinamide 2% + BHA 4% Blackhead Exfoliant Toner,This stuff didn’t work for me like it did others.,2
168,COSRX Niacinamide 2% + BHA 4% Blackhead Exfoliant Toner,It’s a really bad product. I can't get over it!!,1
169,COSRX Niacinamide 2% + BHA 4% Blackhead Exfoliant Toner,"This stuff has done wonders on my pores and blackheads and for the price, I will buy again. It leave a glow on my skin, I use it every night and it doesn't irritate my skin or dry it out.",5
170,COSRX Niacinamide 2% + BHA 4% Blackhead Exfoliant Toner,Nice product. It helped clear some of my acne. I didn't get any negative reaction to it. I've noticed an improvement.,4
171,COSRX Niacinamide 2% + BHA 4% Blackhead Exfoliant Toner,"It doesn’t make it breakout or anything, but it doesn’t help my blackheads either. I’ve been using this for a few months and I don’t think I will be purchasing this again.",3
172,COSRX Niacinamide 2% + BHA 4% Blackhead Exfoliant Toner,I think it's causing me to purge. My face got super broken out when I first started using it. I cut back to every three days and it seems to be better.,3
173,COSRX Niacinamide 2% + BHA 4% Blackhead Exfoliant Toner,This product didn't do anything for me. It only made my face break out. Waste of money. I dumped it down the sink.,1
174,COSRX Niacinamide 2% + BHA 4% Blackhead Exfoliant Toner,"Irritated my skin, I am sad. Probably a good product but not for me.",3
175,COSRX Niacinamide 2% + BHA 4% Blackhead Exfoliant Toner,"My skin look much clean and no blackheads on my nose. I have oily, sensitive skin and works for me.",5
176,COSRX Niacinamide 2% + BHA 4% Blackhead Exfoliant Toner,Cleared up my acne. Even others noticed a difference in my complexion.,2
177,COSRX Niacinamide 2% + BHA 4% Blackhead Exfoliant Toner,"Helped with some skin issues, I like to layer it on thickly at night then when I wake up my skin looks much better!",4
178,COSRX Niacinamide 2% + BHA 4% Blackhead Exfoliant Toner,"Didn't break me out, but didn't clear me up either. And am I think it smells like baby puke",3
179,COSRX Niacinamide 2% + BHA 4% Blackhead Exfoliant Toner,Product dries out skin and results initially like a sunburn blistering and then skin peels off.,1
180,SOME BY MI AHA BHA PHA 30 Days Miracle Toner,"It’s amazing. Also it’s moisturizing and doesn’t dry the skin out, which I love. I highly recommend you purchase if looking for a great toner",5
181,SOME BY MI AHA BHA PHA 30 Days Miracle Toner,In the beginning my skin was adjusting and purging and honestly thought the results would be better. I didn’t see improvement. I do like the way skin feels but it does dry it out.,3
182,SOME BY MI AHA BHA PHA 30 Days Miracle Toner,It doesn't react to my skin and has a slight minty scent. It does its job in exfoliating and i’m satisfied with it.,3
183,SOME BY MI AHA BHA PHA 30 Days Miracle Toner,"works but not as quickly as it says on the bottle, it takes time isn’t so instant, stay consistent and results are amazing !!",3
184,SOME BY MI AHA BHA PHA 30 Days Miracle Toner,I've got breakout from this toner,1
185,SOME BY MI AHA BHA PHA 30 Days Miracle Toner,"This product works like magic, have seen significant difference in my skin texture and it also helps with Acne scars and Hyperpigmentation. I highly recommend this for acne prone sensitive skin",5
186,SOME BY MI AHA BHA PHA 30 Days Miracle Toner,My skin but my skin had stop breaking out on my nose bridge.  Also I accidentally got it in my eye and it burned. ,2
187,SOME BY MI AHA BHA PHA 30 Days Miracle Toner,I've used this one for a while now and my skin barrier is very healthy now.,4
188,SOME BY MI AHA BHA PHA 30 Days Miracle Toner,"Broke out immediately, very badly! Had good skin prior and wanted this for some dark spots and my skin freaked out",2
189,SOME BY MI AHA BHA PHA 30 Days Miracle Toner,I’ve been using this toner for 3 months now and I haven’t seen any difference.,2
190,SOME BY MI AHA BHA PHA 30 Days Miracle Toner,"It reduces pore sebum but feels a little dry after appliance Smell is pleasant, description close to its purpose. ",5
191,SOME BY MI AHA BHA PHA 30 Days Miracle Toner,Smelled nice but didn't work as advertised if anything. I broke out more,2
192,SOME BY MI AHA BHA PHA 30 Days Miracle Toner,This product will make your acne worse and produce too much sebum.,3
193,SOME BY MI AHA BHA PHA 30 Days Miracle Toner,I wanted to like this but I think my skin is sensitive to tea tree.,3
194,SOME BY MI AHA BHA PHA 30 Days Miracle Toner,Made me breakout! Every time is use it I wake up with breakouts the next day,1
195,SOME BY MI AHA BHA PHA 30 Days Miracle Toner,"This product has evened out my skin tone, smoothed the rough looking areas and has given me a brighter complexion. I highly recommend this product for smooth, radiant skin.",5
196,SOME BY MI AHA BHA PHA 30 Days Miracle Toner,It’s only been a few days but wow! What a difference it makes already! I’m definitely brighter and glowy and those annoying little congested pores are suddenly clear. Had to struggle to find a few to extract. Hopefully it shrinks the pore size the more I use it.,3
197,SOME BY MI AHA BHA PHA 30 Days Miracle Toner,"I have ""great skin"" per other people, but I've always had blackheads on my nose. 2 days using this and they are gone!",5
